Control Code,Control Name,Control Description,Control Question,Control Activities,Control Owners,Template Required,Is Ready,SOC 2 2017
DCF-98,Daily Backup Statuses Monitored,Nexelus monitors the status of backups on a daily basis and action is taken when the backup process fails.,Does the organization monitor the status of its backups and take action when the backup process fails?,,Tao / Anees,,Ready,A1.2
DCF-77,Daily Database Backups,Nexelus performs backups daily and retains them in accordance with a predefined schedule in the Backup Policy.,"Does the organization create recurring backups of data, software and system images to ensure the availability of the data?",,Peter / Tao,Automated backups,Ready,"A1.2, A1.3, CC7.5, CC9.1, P4.2"
DCF-102,Data Classification,Nexelus has established a data classification policy in order to identify the types of confidential information possessed by the entity and types of protection that are required.,Does the organization have controls in place to identify and classify the different types of data it processes?,,Asim,,Ready,"C1.1, PI1.1"
DCF-123,Data Destruction Policy,Nexelus implements policies and procedures to erase or otherwise destroy personal information that has been identified for destruction.,Does the organization have policies or procedures in place to erase personal information identified for destruction?,,"HR for Employees /
Client for their respective users",,Ready,P4.3
DCF-137,Data Entry Field Completion Automated,"As personal information is collected, automated edit checks are in place to ensure that data entry fields are completed properly.",Does the organization ensure data entry fields are completed properly when personal information is being collected?,,N/A,,Not Ready,P7.1
DCF-45,Data Protection Policy,Nexelus has established a Data Protection Policy and requires all employees to accept it upon hire. Management monitors employees' acceptance of the policy.,Does the organization facilitate the implementation of data protection controls?,,"Tauseef /  
All Employees",,Ready,"CC1.1, CC2.2, CC6.1, CC6.7"
DCF-101,Data Retention,Nexelus establishes written policies related to retention periods for the confidential information it maintains.,Does the organization have controls in place related to the retention of confidential information it maintains?,,Tauseef,Policy Established,Ready,"C1.1, P4.2"
DCF-81,Databases Monitored and Alarmed,Nexelus has implemented tools to monitor Nexelus's databases and notify appropriate personnel of any events or incidents based on predetermined criteria. Incidents are escalated per policy.,Does the organization implement tools to monitor its databases and notify appropriate personnel of incidents based on predetermined criteria?,"1. Ensure tools are implemented to monitor databases
2. Ensure notifications based on specific criteria are sent to the appropriate personnel
3. Escalate incidents appropriately","Peter / 
Arif K",Escalation needs to be documented,Ready,A1.1
DCF-42,Defined Management Roles & Responsibilities,Management has established defined roles and responsibilities to oversee implementation of the information security policy across the organization.,Does the organization have roles and responsibilities defined to oversee the implementation of the information security program?,,,,Ready,CC1.2
DCF-73,Denial of Public SSH,No public SSH is allowed.,Does the organization deny public SSH?,,Peter,Network Plocies in place,Not Ready,"CC6.6, CC6.7"
DCF-25,Disaster Recovery Plan,Nexelus has an established Disaster Recovery Plan that outlines roles and responsibilities and detailed procedures for recovery of systems.,Does the organization facilitate the implementation of contingency planning controls?,,"NSS Lead / 
Management",,Ready,"A1.2, A1.3, CC5.3, CC7.5, CC9.1, P4.2"
DCF-8,Disclosure Process for Customers,"Nexelus provides a process to external users for reporting security, confidentiality, integrity, and availability failures, incidents, concerns, and other complaints.","Does the organization establish a Vulnerability Disclosure Program (VDP) to assist with the secure development and maintenance of products and services that receives unsolicited input from the public about vulnerabilities in organizational systems, services and processes?",Make the company's responsible disclosure policy available to customers.,,,Ready,CC2.3
DCF-128,Disclosure with 3rd Parties,Nexelus discloses personal information only to third parties who have agreements with Nexelus to protect personal information in a manner consistent with the relevant aspects of Nexelus's privacy notice or other specific instructions or requirements.,Does the organization only disclose personal information to third parties who have agreements in place to protect personal information in a manner consistent with the relevant aspects of the company's privacy notice?,,,,Ready,"P6.1, P6.4"
DCF-109,Disposal of Sensitive Data on Hardware,Nexelus has formal policies and procedures in place to guide personnel in the disposal of hardware containing sensitive data.,Does the organization have controls in place to guide personnel in the disposal of hardware containing sensitive data?,"1. Formal, documented hard disk drive destruction process
2. Employee termination checklist includes properly destroying hard disks",Tauseef,,Ready,"C1.2, CC6.5"
DCF-107,Disposal of Sensitive Data on Paper,Nexelus has formal policies and procedures in place to guide personnel in the disposal of paper documents containing sensitive data.,Does the organization have controls in place to guide personnel on the disposal of paper documents containing sensitive data?,,Tauseef,,Not Ready,C1.2
DCF-150,DLP (Data Loss Prevention) Software is Used,Nexelus uses DLP (Data Loss Prevention) software to prevent unencrypted sensitive information from being transmitted over email,"Is Data Loss Prevention (DLP) used to protect sensitive information as it is stored, transmitted and processed?","1. If SSN's, credit card numbers, possible account numbers, etc. are being sent over email, then ensure DLP software is in place and keeping sensitive information from being shared over email.",,,Ready,CC6.7
DCF-9,Employee Disclosure Process,"Nexelus provides a process to employees for reporting security, confidentiality, integrity, and availability features, incidents, and concerns, and other complaints to company management.","Does the organization establish a Vulnerability Disclosure Program (VDP) to assist with the secure development and maintenance of products and services that receives unsolicited input from the public about vulnerabilities in organizational systems, services and processes?",Make the company's responsible disclosure policy available to employees.,Tauseef,Through Jira,Ready,"CC5.3, CC2.2"
DCF-105,Employee Non-Disclosure Agreement (NDA),Nexelus's new hire contracts include a non-disclosure agreement (NDA),Does the organization have an NDA included in its new hire contracts?,,Tauseef,To be signed by all employees,Ready,"C1.1, P6.4"
DCF-181,Encryption Policy,Nexelus has a defined policy that establishes requirements for the use of cryptographic controls.,Does the organization have policis and procedures for the use of cyptographic?,"1. Plan and implement use of cryptographic algorithms and keys in order to protect the confidentiality, integrity, authenticity, and nonrepudiation of information 
2. Adopt a standard approach to cryptographic controls across all work centers to ensure end-to-end security and to promote interoperability
3. Outline a process for key management",Tauseef / Asim,,Ready,CC6.1
DCF-99,Failed Backup Alert and Action,Nexelus has an automated email sent to appropriate personnel when the backup process fails. Failed backups are resolved in a timely manner.,Does the organization have an automated alert sent to the appropriate personnel when the backup process fails?,,peter / Arif K,,Ready,A1.2
DCF-85,Firewalls,"Nexelus uses configurations that ensure only approved networking ports and protocols are implemented, including firewalls.",Does the organization ensure only approved networking ports and protocols are implemented?,,Peter,,Not Ready,CC6.6
DCF-28,Follow-Ups Tracked,"Nexelus has implemented an Incident Response Policy that includes creating, prioritizing, assigning, and tracking follow-ups to completion.",Does the organization track the remediation of security vulnerabilities to completion?,,"NSS Lead
Management",,Ready,"CC2.2, CC2.3, CC4.2, CC7.3, CC7.4, CC7.5, CC9.1"
DCF-46,Formal Recruiting Process,Nexelus's new hires and/or internal transfers are required to go through an official recruiting process during which their qualifications and experience are screened to ensure that they are competent and capable of fulfilling their responsibilities.,Does the organization have new hires sign a new hire contract or official employment offer?,,Arshad,Implemented,Not Ready,CC1.4
DCF-52,Hard-Disk Encryption,Nexelus ensures that company-issued laptops have encrypted hard-disks.,Does the organization ensure its employees' hard-disks are encrypted?,,"Shafiq
Peter",,Ready,"CC6.1, CC6.7"
DCF-12,Hardening Standards in Place,Hardening standards are in place to ensure that newly deployed server instances are appropriately secured.,"Does the organization develop, document and maintain secure baseline configurations for technology platforms that are consistent with industry-accepted system hardening standards?","Ensure system hardening standards are in place, and newly-deployed server instances are secured per those standards.",Peter,,Ready,CC6.1
DCF-62,Inactivity and Browser Exit Logout,"Nexelus automatically logs users out after a predefined inactivity interval and/or closure of the internet browser, and requires users to reauthenticate","Does the organization initiate a session lock after an organization-defined time period of inactivity, or upon receiving a request from a user and retain the session lock until the user reestablishes access using established identification and authentication methods?","1. Ensure users are logged out when browser/tab is closed
2. Ensure users are logged out due to inactivity
3. Ensure (1) and (2) require the user to reauthenticate",Peter / Dev Lead,,Ready,CC6.6
DCF-131,Incident Report Template and Process,"Nexelus has incident management procedures that include detailed instructions on how to escalate a suspected incident to the Information Security Team and, when necessary, to the Privacy or Legal department. Nexelus has a standard incident report template that must be completed for each incident.",Does the organization have procedures to escalate a suspected incident to the InfoSec team?,,Tauseef,,Ready,"P6.5, P6.3"
DCF-159,Incident Response Plan,"Nexelus has an established Incident Response Policy that outlines management responsibilities and procedures to ensure a quick, effective, and orderly response to information security incidents and annual testing.",Does the organization maintain and make available a current and viable Incident Response Plan (IRP) to all stakeholders?,,Tauseef,,Ready,"CC2.2, CC2.3, CC4.2, CC7.3, CC7.4, CC7.5, CC9.1"
DCF-29,Incident Response Team,"Nexelus has identified an incident response team that quantifies and monitors incidents involving security, availability, processing integrity, and confidentiality at the company.",Does the organization formally assign personnel or roles with responsibility for responding to sensitive information spills?,,NSS Team,,Ready,"CC2.2, CC9.1, CC7.5, CC7.4, CC7.3, CC4.2, CC2.3"
DCF-41,Independent Board of Directors,Members of the Board of Directors are independent of management.,Does the organization have an independent board of directors?,,,,Not Ready,CC1.2
DCF-13,Information Security Policy,Nexelus has a defined Information Security Policy that covers policies and procedures to support the functioning of internal control.,"Does the organization establish, maintain and disseminate cybersecurity and privacy policies, standards and procedures?","1. Create and maintain a defined Information Security Policy in support of internal controls.
2. Ensure the company-wide dissemination of the policy.",Tauseef,,Ready,"CC2.1, CC5.3"
DCF-91,Intrusion Detection System in Place,"An intrusion detection system (IDS) is in place to detect potential intrusions, alert personnel when a potential intrusion is detected",Does the organization have an intrusion detection system (IDS) in place to detect potential intrusions?,,,,Ready,"CC6.6, CC7.1, CC7.2"
DCF-47,Job Descriptions,"All Nexelus positions have a detailed job description that lists qualifications, such as requisite skills and experience, which candidates must meet in order to be hired by Nexelus.",Does the organization provide detailed job descriptions that list qualifications for open employment opportunities that qualified candidates must meet in order to be hired?,,"Arshad
",,Not Ready,CC1.4
DCF-2,Least-Privileged Policy for Customer Data Access,"Nexelus authorizes access to information resources, including data and the systems that store or process customer data, based on the principle of least privilege.","Does the organization utilize the concept of least privilege, allowing only authorized access to processes necessary to accomplish assigned tasks in accordance with organizational business functions?",Authorize access to information resources based on least-privilege policy.,"Tauseef
Arif K
Peter",,Ready,"CC2.1, CC5.2"
DCF-30,Lessons Learned,"Nexelus has implemented an Incident Response Policy that includes documenting “Lessons Learned” and ""Root Cause Analysis"" after incidents and sharing them with the broader engineering team.",Does the organization incorporate lessons learned from analyzing and resolving cybersecurity and privacy incidents to reduce the likelihood or impact of future incidents?,,,,Ready,"CC4.2, CC2.2, CC2.3, CC7.3, CC9.1, CC7.5, CC7.4"
DCF-96,Load Balancer Used,Nexelus uses a load balancer to automatically distribute incoming application traffic across multiple instances and availability zones.,Does the organization use a load balancer to automatically distribute traffic across multiple instances and/or availability zones?,,Peter,,Not Ready,A1.1
DCF-80,Log Management System,"Nexelus uses logging software that sends alerts to appropriate personnel. Corrective actions are performed, as necessary, in a timely manner.",Does the organization use logging software to alert appropriate personnel of anomalous or suspicious activity?,"1. Enable AWS CloudTrail and CloudWatch, Azure Monitor (Log Analytics), Google StackDriver, or analogous software.
2. Enable rulesets to alert appropriate personnel of anomalous or suspicious activity.
3. Perform corrective actions when alerted.",Peter,,Not Ready,CC7.2
DCF-87,Logging/Monitoring,"Nexelus has infrastructure logging configured to monitor web traffic and suspicious activity. When anomalous traffic activity is identified, alerts are automatically created, sent to appropriate personnel and resolved, as necessary.",Does the organization configure infrastructure logging to monitor web traffic and suspicious activity?,,Peter,,Ready,"CC6.8, CC7.1, CC7.2"
DCF-79,Logs Centrally Stored,Nexelus uses a system that collects and stores server logs in a central location. The system can be queried in an ad hoc fashion by authorized users.,Does the organization collect and store server logs in a central location that can be queried by authorized personnel?,,Peter,,Not Ready,CC7.2
DCF-65,Maintains a Privacy Policy,"Nexelus maintains a Privacy Policy that is available to all external users and internal employees, and it details the company's confidentiality and privacy commitments.",Does the organization maintain a publicly available privacy policy detailing the organization's commitments to confidentiality and privacy?,,Tauseef,,Not Ready,CC2.3
DCF-66,Maintains a Terms of Service,"Nexelus maintains a Terms of Service that is available to all external users and internal employees, and the terms detail the company's security and availability commitments regarding the systems. Client Agreements or Master Service Agreements are in place for when the Terms of Service may not apply.",Does the organization maintain a publicly available terms of service that details the organization's security and availability commitments?,,Tauseef,,Not Ready,CC2.3
DCF-20,Maintains Asset Inventory,"Nexelus identifies, inventories and classifies IT assets.","Does the organization update asset inventories as part of component installations, removals and asset upgrades?","1. Generate an inventory of IT assets and their classification
2. Maintain and update the inventory","NSS Lead
HR
Network Admin",,Ready,"CC2.1, CC6.1"
DCF-50,Malware Detection Software Installed,Nexelus requires antivirus software to be installed on workstations to protect the network against malware.,Does the organization facilitate the implementation of endpoint security controls?,,Peter / Shafiq,,Ready,CC6.8
DCF-82,Messaging Queues Monitored and Alarmed,Nexelus has implemented tools to monitor Nexelus's messaging queues and notify appropriate personnel of any events or incidents based on predetermined criteria. Incidents are escalated per policy.,Does the organization implement tools to monitor its messaging queues and notify appropriate personnel of incidents based on predetermined criteria?,,N/A,,Not Ready,A1.1
DCF-158,MFA Available for External Users,Nexelus allows for external users to implement multi-factor authentication on their accounts in order to require two forms of authentication prior to authentication,Does the organization provide the ability for external users to enable 2 factor authentication or MFA?,1. Allow for MFA on user accounts,,,Not Ready,C1.1
DCF-67,MFA on Accounts,"Nexelus requires two factor authentication to access sensitive systems and applications in the form of user ID, password, OTP and/or certificate.",Does the organization require Multi-Factor Authentication (MFA) accessing systems and applications?,,,,Ready,"C1.1, CC6.1, CC6.6"
DCF-117,Minimal Information Required,Nexelus's collection of personal information is limited to that necessary to meet the entity's objectives.,Does the organization limit the collection of personal information to only that which is necessary to meet the entity's objectives?,,Tauseef,,Not Ready,P3.1
DCF-95,Monitoring Processing Capacity and Usage,Nexelus monitors its processing capacity and usage on a quarterly basis in order to appropriately manage capacity demand and to enable the implementation of additional capacity to meet availability commitments.,Does the organization monitor its processing capacity and usage quarterly to appropriately manage capacity demand and plan accordingly?,,Peter / Shafiq,,Not Ready,A1.1
DCF-27,Multiple Availability Zones,Nexelus utilizes multiple availability zones to replicate production data across different zones.,Does the organization replicate data across different availability zones to ensure the availability in the case of an outage in one particular zone?,,,,Ready,"A1.2, CC9.1, P4.2, PI1.5"
DCF-22,Network segmentation in place,Nexelus maintains an accurate network diagram that is accessible to the engineering team and is reviewed by management on an annual basis.,Does the organization logically or physically segment information flows to accomplish network segmentation?,,,,Ready,"C1.1, CC6.1, CC6.6"
